Time,longitude,latitude,count
0,-73.925,40.866,0.0
1,-73.925,40.866,0.0
2,-73.925,40.866,0.0
3,-73.925,40.866,0.0
4,-73.925,40.866,0.0
5,-73.925,40.866,0.0
6,-73.925,40.866,0.0
7,-73.925,40.866,0.0
8,-73.925,40.866,0.0
9,-73.925,40.866,0.0
10,-73.925,40.866,0.0
11,-73.925,40.866,0.0
12,-73.925,40.866,0.0
13,-73.925,40.866,0.0
14,-73.925,40.866,0.0
15,-73.925,40.866,0.0
16,-73.925,40.866,0.0
17,-73.925,40.866,0.0
18,-73.925,40.866,0.0
19,-73.925,40.866,0.0
20,-73.925,40.866,0.0
21,-73.925,40.866,0.0
22,-73.925,40.866,0.0
23,-73.925,40.866,0.0
0,-73.994,40.751,33.0
1,-73.994,40.751,23.0
2,-73.994,40.751,21.0
3,-73.994,40.751,3.0
4,-73.994,40.751,11.0
5,-73.994,40.751,48.0
6,-73.994,40.751,182.0
7,-73.994,40.751,167.0
8,-73.994,40.751,116.0
9,-73.994,40.751,148.0
10,-73.994,40.751,158.0
11,-73.994,40.751,123.0
12,-73.994,40.751,133.0
13,-73.994,40.751,122.0
14,-73.994,40.751,115.0
15,-73.994,40.751,106.0
16,-73.994,40.751,87.0
17,-73.994,40.751,88.0
18,-73.994,40.751,116.0
19,-73.994,40.751,121.0
20,-73.994,40.751,118.0
21,-73.994,40.751,107.0
22,-73.994,40.751,87.0
23,-73.994,40.751,52.0
