Time,count
0,10606.0
1,6182.0
2,3560.0
3,2326.0
4,2148.0
5,3408.0
6,10300.0
7,18777.0
8,21527.0
9,19824.0
10,17289.0
11,17146.0
12,17744.0
13,17661.0
14,19489.0
15,18570.0
16,16353.0
17,19934.0
18,24728.0
19,25068.0
20,24874.0
21,24375.0
22,22828.0
23,19175.0
0,10461.0
1,6254.0
2,3880.0
3,2499.0
4,2333.0
5,3820.0
6,10502.0
7,18474.0
8,21955.0
9,20179.0
10,17713.0
11,17472.0
12,18164.0
13,17904.0
14,19036.0
15,18476.0
16,16084.0
17,20283.0
18,25009.0
19,25791.0
20,24604.0
21,24394.0
22,23288.0
23,19698.0
0,10721.0
1,6837.0
2,4406.0
3,2802.0
4,2792.0
5,3903.0
6,10473.0
7,18812.0
8,22738.0
9,21039.0
10,18638.0
11,18307.0
12,18938.0
13,18700.0
14,20010.0
15,19257.0
16,16942.0
17,21310.0
18,26013.0
19,26159.0
20,24685.0
21,24529.0
22,23068.0
23,19674.0
0,20736.0
1,18218.0
2,13284.0
3,11177.0
4,6640.0
5,2200.0
6,3552.0
7,5299.0
8,8250.0
9,11446.0
10,16200.0
11,17205.0
12,18493.0
13,18463.0
14,17719.0
15,18128.0
16,16407.0
17,19156.0
18,20346.0
19,19709.0
20,21058.0
21,17438.0
22,17537.0
23,16743.0
0,20991.0
1,18586.0
2,13848.0
3,11732.0
4,7127.0
5,2874.0
6,4342.0
7,5019.0
8,8009.0
9,12376.0
10,16156.0
11,21019.0
12,19422.0
13,19547.0
14,18686.0
15,18364.0
16,17542.0
17,19343.0
18,23997.0
19,23661.0
20,20400.0
21,19665.0
22,19831.0
23,18917.0
0,11420.0
1,7350.0
2,4716.0
3,3456.0
4,2836.0
5,4065.0
6,10300.0
7,18171.0
8,21616.0
9,20308.0
10,18242.0
11,17894.0
12,17851.0
13,18201.0
14,18988.0
15,18743.0
16,16624.0
17,20571.0
18,24693.0
19,24813.0
20,24504.0
21,23942.0
22,22876.0
23,18863.0
0,10934.0
1,6208.0
2,3637.0
3,2588.0
4,2083.0
5,3398.0
6,10020.0
7,18282.0
8,21607.0
9,20226.0
10,17460.0
11,17379.0
12,17821.0
13,17604.0
14,19738.0
15,18595.0
16,16519.0
17,20035.0
18,24742.0
19,25334.0
20,24707.0
21,24249.0
22,22795.0
23,19033.0
