Time,pickup_number
00,7
01,11
02,17
03,2
04,11
05,30
06,205
07,181
08,131
09,180
10,154
11,135
12,114
13,82
14,138
15,100
16,86
17,110
18,162
19,122
20,132
21,158
22,97
23,33
00,15
01,19
02,16
03,4
04,9
05,55
06,187
07,176
08,147
09,173
10,184
11,145
12,125
13,137
14,137
15,134
16,84
17,116
18,113
19,138
20,143
21,78
22,127
23,71
00,42
01,19
02,14
03,6
04,8
05,28
06,190
07,192
08,95
09,154
10,174
11,112
12,135
13,144
14,137
15,117
16,108
17,117
18,136
19,127
20,127
21,89
22,80
23,73
00,54
01,27
02,33
03,2
04,9
05,58
06,181
07,154
08,78
09,161
10,156
11,149
12,114
13,120
14,114
15,128
16,95
17,111
18,145
19,157
20,164
21,133
22,122
23,81
00,75
01,30
02,20
03,8
04,6
05,63
06,199
07,204
08,79
09,139
10,228
11,138
12,125
13,120
14,103
15,134
16,76
17,85
18,149
19,168
20,71
21,132
22,81
23,42
00,17
01,13
02,16
03,4
04,8
05,48
06,183
07,207
08,162
09,231
10,175
11,152
12,83
13,137
14,115
15,93
16,108
17,111
18,124
19,124
20,101
21,143
22,128
23,69
00,20
01,28
02,19
03,12
04,5
05,57
06,182
07,190
08,181
09,172
10,163
11,129
12,135
13,134
14,129
15,106
16,108
17,93
18,173
19,142
20,101
21,115
22,133
23,68
00,71
01,39
02,24
03,3
04,11
05,50
06,190
07,188
08,171
09,204
10,176
11,132
12,139
13,95
14,143
15,115
16,56
17,114
18,108
19,129
20,108
21,141
22,94
23,95
00,56
01,50
02,18
03,5
04,13
05,44
06,193
07,171
08,138
09,110
10,141
11,108
12,138
13,127
14,145
15,126
16,103
17,97
18,129
19,136
20,147
21,140
22,118
23,59
00,23
01,24
02,40
03,4
04,17
05,29
06,179
07,129
08,48
09,120
10,177
11,164
12,154
13,83
14,163
15,107
16,99
17,69
18,153
19,113
20,119
21,125
22,89
23,38
00,15
01,4
02,40
03,3
04,14
05,29
06,221
07,196
08,158
09,176
10,184
11,129
12,138
13,96
14,102
15,137
16,103
17,96
18,172
19,125
20,103
21,124
22,92
23,48
00,35
01,11
02,28
03,8
04,8
05,35
06,200
07,181
08,128
09,151
10,155
11,157
12,143
13,167
14,104
15,122
16,91
17,98
18,111
19,130
20,99
21,99
22,108
23,27
00,33
01,27
02,15
03,4
04,9
05,38
06,179
07,178
08,120
09,161
10,174
11,162
12,135
13,152
14,142
15,115
16,94
17,88
18,112
19,138
20,105
21,116
22,111
23,56
00,39
01,16
02,27
03,7
04,6
05,66
06,206
07,175
08,131
09,179
10,166
11,141
12,145
13,105
14,136
15,98
16,60
17,61
18,126
19,174
20,134
21,168
22,106
23,62
00,45
01,30
02,37
03,2
04,14
05,56
06,185
07,178
08,161
09,192
10,133
11,109
12,127
13,117
14,85
15,119
16,71
17,83
18,132
19,120
20,109
21,143
22,91
23,49
00,33
01,26
02,20
03,3
04,5
05,47
06,194
07,188
08,182
09,193
10,148
11,124
12,129
13,130
14,141
15,116
16,114
17,107
18,155
19,119
20,116
21,105
22,83
23,21
00,18
01,12
02,20
03,1
04,6
05,44
06,191
07,165
08,198
09,184
10,145
11,121
12,142
13,150
14,105
15,109
16,71
17,94
18,129
19,128
20,108
21,90
22,76
23,33
00,43
01,13
02,34
03,4
04,8
05,59
06,214
07,141
08,159
09,131
10,149
11,166
12,125
13,118
14,109
15,79
16,75
17,75
18,97
19,144
20,134
21,126
22,70
23,51
00,43
01,27
02,21
03,5
04,7
05,39
06,124
07,76
08,107
09,116
10,119
11,117
12,107
13,121
14,148
15,119
16,101
17,82
18,110
19,197
20,85
21,114
22,119
23,98
00,35
01,63
02,22
03,1
04,12
05,58
06,194
07,175
08,159
09,175
10,202
11,97
12,106
13,120
14,151
15,117
16,131
17,75
18,139
19,135
20,121
21,139
22,167
23,73
00,39
01,23
02,22
03,1
04,10
05,50
06,188
07,173
08,215
09,185
10,211
11,156
12,121
13,139
14,98
15,138
16,105
17,94
18,148
19,111
20,114
21,101
22,122
23,111
00,30
01,13
02,21
03,3
04,17
05,43
06,201
07,182
08,204
09,181
10,167
11,153
12,145
13,137
14,110
15,111
16,97
17,98
18,143
19,123
20,140
21,107
22,107
23,62
00,29
01,29
02,13
03,7
04,7
05,44
06,186
07,189
08,169
09,155
10,171
11,97
12,154
13,146
14,126
15,102
16,106
17,83
18,156
19,152
20,128
21,140
22,103
23,37
00,56
01,17
02,30
03,8
04,11
05,53
06,172
07,160
08,98
09,145
10,147
11,90
12,109
13,95
14,111
15,108
16,86
17,87
18,119
19,72
20,125
21,140
22,103
23,53
00,60
01,19
02,35
03,3
04,17
05,64
06,199
07,161
08,60
09,131
10,160
11,143
12,150
13,119
14,129
15,91
16,91
17,107
18,109
19,119
20,128
21,109
22,122
23,45
00,27
01,19
02,17
03,3
04,12
05,41
06,222
07,214
08,90
09,80
10,152
11,138
12,145
13,136
14,123
15,136
16,56
17,80
18,70
19,119
20,116
21,109
22,68
23,51
00,15
01,28
02,16
03,4
04,10
05,47
06,194
07,211
08,90
09,153
10,163
11,154
12,163
13,135
14,102
15,123
16,75
17,93
18,116
19,158
20,121
21,90
22,74
23,108
00,53
01,27
02,13
03,5
04,11
05,61
06,198
07,173
08,153
09,171
10,186
11,108
12,151
13,161
14,113
15,112
16,103
17,115
18,144
19,137
20,140
21,134
22,47
23,54
00,31
01,24
02,28
03,7
04,19
05,56
06,211
07,173
08,113
09,176
10,110
11,119
12,139
13,165
14,118
15,105
16,88
17,90
18,147
19,123
20,114
21,129
22,147
23,66
00,58
01,30
02,36
03,2
04,23
05,59
06,197
07,202
08,124
09,163
10,174
11,170
12,166
13,121
14,105
15,119
16,111
17,127
18,122
19,131
20,101
21,85
22,132
23,90
00,24
01,21
02,21
03,4
04,14
05,64
06,195
07,173
08,58
09,107
10,170
11,139
12,127
13,131
14,100
15,87
16,98
17,117
18,113
19,119
20,121
21,110
22,85
23,83
00,46
01,24
02,16
03,6
04,17
05,65
06,203
07,217
08,155
09,147
10,152
11,158
12,172
13,147
14,119
15,78
16,106
17,95
18,124
19,127
20,113
21,82
22,75
23,33
00,33
01,26
02,25
03,1
04,10
05,43
06,178
07,193
08,136
09,129
10,185
11,171
12,133
13,175
14,96
15,125
16,103
17,86
18,79
19,115
20,135
21,110
22,67
23,44
00,39
01,37
02,18
03,0
04,14
05,44
06,190
07,165
08,170
09,135
10,122
11,131
12,128
13,122
14,100
15,95
16,57
17,65
18,101
19,168
20,137
21,127
22,85
23,56
00,56
01,25
02,12
03,2
04,15
05,39
06,215
07,200
08,120
09,157
10,126
11,126
12,123
13,166
14,110
15,104
16,97
17,67
18,120
19,149
20,118
21,123
22,125
23,119
00,30
01,43
02,36
03,0
04,15
05,41
06,185
07,197
08,166
09,158
10,155
11,138
12,165
13,74
14,93
15,124
16,107
17,96
18,129
19,107
20,102
21,50
22,27
23,42
00,16
01,21
02,25
03,2
04,12
05,51
06,182
07,210
08,126
09,190
10,121
11,141
12,189
13,108
14,73
15,126
16,113
17,92
18,132
19,106
20,134
21,81
22,74
23,29
00,17
01,50
02,16
03,2
04,11
05,45
06,201
07,217
08,133
09,139
10,146
11,98
12,135
13,88
14,95
15,101
16,70
17,50
18,87
19,121
20,146
21,108
22,38
23,54
00,32
01,45
02,20
03,3
04,11
05,51
06,193
07,174
08,157
09,131
10,116
11,99
12,151
13,105
14,137
15,82
16,59
17,65
18,54
19,90
20,136
21,107
22,133
23,115
00,47
01,47
02,11
03,4
04,13
05,37
06,195
07,194
08,203
09,174
10,157
11,141
12,190
13,78
14,109
15,119
16,87
17,87
18,113
19,131
20,103
21,125
22,96
23,21
00,11
01,42
02,16
03,3
04,16
05,40
06,208
07,180
08,186
09,207
10,190
11,145
12,149
13,130
14,123
15,132
16,73
17,99
18,139
19,95
20,97
21,93
22,102
23,31
00,17
01,35
02,12
03,6
04,11
05,45
06,192
07,201
08,192
09,197
10,180
11,198
12,170
13,125
14,103
15,122
16,91
17,130
18,140
19,121
20,115
21,104
22,77
23,37
00,42
01,34
02,9
03,4
04,12
05,44
06,201
07,177
08,203
09,144
10,167
11,127
12,132
13,127
14,131
15,104
16,123
17,109
18,128
19,139
20,128
21,87
22,103
23,44
00,49
01,15
02,10
03,18
04,17
05,46
06,195
07,151
08,141
09,100
10,108
11,121
12,171
13,135
14,134
15,122
16,88
17,101
18,110
19,101
20,122
21,108
22,84
23,54
