Time,pickup_number
00,6669
01,3935
02,2514
03,1783
04,1772
05,3362
06,9766
07,18035
08,21079
09,19355
10,16357
11,16276
12,16548
13,16683
14,18321
15,18356
16,16663
17,20376
18,25018
19,24491
20,23077
21,23156
22,20037
23,13485
00,8684
01,5125
02,3423
03,2202
04,2007
05,3658
06,10154
07,19116
08,22385
09,19858
10,17620
11,17532
12,18258
13,17674
14,19320
15,18953
16,16752
17,21367
18,26336
19,27123
20,26339
21,26136
22,22957
23,17381
00,10569
01,5856
02,3676
03,2256
04,2234
05,3716
06,10388
07,20108
08,22595
09,21516
10,18700
11,18757
12,19427
13,19316
14,20137
15,19649
16,17257
17,21801
18,26580
19,27360
20,26213
21,25801
22,24259
23,20401
00,13784
01,8825
02,5670
03,3776
04,3188
05,4036
06,10401
07,19362
08,23238
09,20673
10,18143
11,17995
12,18310
13,18339
14,20134
15,18801
16,16441
17,20961
18,26259
19,27719
20,25216
21,24044
22,24766
23,24890
00,6039
01,3670
02,2390
03,1757
04,1926
05,3552
06,9992
07,17473
08,20378
09,19349
10,15935
11,15240
12,16117
13,15886
14,16931
15,17341
16,15623
17,18960
18,23636
19,21677
20,20472
21,19267
22,16524
23,11453
00,6963
01,4134
02,2536
03,1739
04,1759
05,3449
06,9732
07,18146
08,20310
09,19221
10,16735
11,16310
12,16379
13,16654
14,17863
15,17845
16,15823
17,20254
18,24608
19,24039
20,23715
21,23631
22,21154
23,14682
00,8601
01,5070
02,3191
03,2207
04,2118
05,3604
06,10115
07,18557
08,20805
09,18960
10,16529
11,16686
12,17096
13,16927
14,18482
15,18098
16,16290
17,19673
18,24096
19,24338
20,23269
21,23792
22,22257
23,17224
00,11329
01,6468
02,3913
03,2745
04,2309
05,3832
06,10195
07,18741
08,20971
09,19197
10,17201
11,17421
12,18949
13,18449
14,19192
15,18364
16,15791
17,20218
18,24742
19,25292
20,24748
21,24695
22,23089
23,20753
00,14624
01,9189
02,6184
03,4426
04,3289
05,3914
06,10073
07,18005
08,20913
09,18978
10,16880
11,17270
12,17776
13,18011
14,19270
15,18046
16,15590
17,20529
18,25450
19,26950
20,24871
21,24669
22,25231
23,25070
00,6182
01,3714
02,2538
03,1706
04,2047
05,3632
06,9687
07,17401
08,21696
09,20252
10,17406
11,16550
12,17060
13,19665
14,20420
15,20402
16,17800
17,21267
18,25445
19,24534
20,23473
21,21259
22,18259
23,12994
00,7949
01,4546
02,2568
03,1641
04,1882
05,3521
06,10217
07,18813
08,22559
09,20734
10,17550
11,17091
12,17748
13,17246
14,19000
15,18336
16,15900
17,19497
18,23862
19,23900
20,22942
21,22677
22,21200
23,15791
00,9411
01,5545
02,3647
03,2363
04,2288
05,3577
06,10067
07,18725
08,21666
09,19573
10,17329
11,17402
12,17650
13,17259
14,18367
15,18389
16,15768
17,20372
18,27264
19,24532
20,24450
21,24698
22,22105
23,17749
00,10644
01,6115
02,3765
03,2527
04,2330
05,3661
06,9860
07,18075
08,20333
09,18612
10,16111
11,15715
12,15768
13,16805
14,18267
15,16763
16,14383
17,19929
18,23749
19,26186
20,26423
21,26489
22,25159
23,22824
00,17650
01,11780
02,7710
03,5051
04,4052
05,4179
06,9945
07,18230
08,21540
09,20001
10,18060
11,18143
12,18644
13,18401
14,20733
15,18570
16,15876
17,19871
18,24234
19,26597
20,24289
21,23544
22,24295
23,24172
00,6396
01,3602
02,2350
03,1697
04,2102
05,3584
06,9662
07,16163
08,19331
09,17949
10,15359
11,15493
12,15698
13,15560
14,16229
15,16178
16,15466
17,18745
18,22433
19,21517
20,20763
21,20182
22,17148
23,12269
00,8218
01,4295
02,2621
03,1836
04,1896
05,3331
06,9692
07,17099
08,21646
09,19882
10,17215
11,16446
12,16787
13,16498
14,17135
15,16577
16,14712
17,18063
18,22441
19,22761
20,22510
21,22834
22,19757
23,14976
00,9197
01,5535
02,3385
03,2300
04,2288
05,3425
06,9453
07,16736
08,20858
09,19471
10,17283
11,16944
12,17362
13,17564
14,17465
15,16752
16,15033
17,18379
18,22869
19,24222
20,23259
21,23875
22,22252
23,18159
00,11778
01,7127
02,4627
03,3042
04,2615
05,3476
06,9490
07,17098
08,21115
09,19763
10,17827
11,17984
12,18455
13,18128
14,18817
15,17711
16,14915
17,18653
18,24140
19,25435
20,24943
21,25288
22,23810
23,21541
00,18027
01,11951
02,8176
03,5378
04,4152
05,3324
06,6243
07,9734
08,14921
09,16967
10,16550
11,17658
12,20392
13,18069
14,19046
15,18895
16,16942
17,19880
18,22714
19,23534
20,21080
21,21207
22,22824
23,23422
00,6730
01,4091
02,2585
03,1906
04,2052
05,3530
06,9724
07,17223
08,20558
09,20069
10,18343
11,16199
12,15662
13,15486
14,15970
15,15179
16,14541
17,17753
18,21109
19,20881
20,19630
21,18238
22,16436
23,13013
00,8839
01,5276
02,2843
03,1832
04,1813
05,3342
06,9300
07,16059
08,20277
09,19258
10,17010
11,16827
12,17388
13,16722
14,17520
15,16968
16,15319
17,19143
18,24555
19,24731
20,24550
21,24173
22,21441
23,15812
00,9678
01,5549
02,3389
03,2219
04,2126
05,3355
06,9523
07,16597
08,20908
09,19499
10,17457
11,16880
12,17305
13,17236
14,17167
15,16973
16,15386
17,18933
18,23434
19,24561
20,24666
21,24399
22,22623
23,18471
00,11093
01,6307
02,4059
03,2617
04,2370
05,3518
06,9488
07,16680
08,20376
09,19191
10,17109
11,16617
12,17408
13,17616
14,18583
15,17333
16,14948
17,18595
18,23743
19,24561
20,24601
21,25137
22,24046
23,20784
00,15138
01,9830
02,6323
03,4476
04,3443
05,3789
06,9398
07,16739
08,20867
09,19453
10,17112
11,17108
12,18181
13,16829
14,18162
15,17521
16,15464
17,19749
18,25793
19,25814
20,23033
21,22017
22,23471
23,24159
00,6860
01,3871
02,2440
03,1713
04,1932
05,3545
06,9937
07,17833
08,20838
09,20057
10,16412
11,16834
12,17268
13,16922
14,20376
15,18811
16,17239
17,22033
18,24033
19,23523
20,22403
21,20204
22,17302
23,14391
00,9012
01,4836
02,2778
03,1858
04,1879
05,3635
06,10571
07,19625
08,23096
09,20538
10,17757
11,17871
12,18643
13,17537
14,18844
15,18604
16,16289
17,20092
18,24976
19,25442
20,24976
21,24613
22,22237
23,16063
00,9373
01,5385
02,3300
03,2231
04,2193
05,3628
06,10360
07,19384
08,22296
09,20122
10,17600
11,17769
12,18204
13,17721
14,19208
15,19021
16,15859
17,19875
18,25209
19,25331
20,25008
21,24084
22,22326
23,17379
00,10345
01,6094
02,3599
03,2397
04,2237
05,3752
06,10266
07,19050
08,22459
09,20393
10,17765
11,18004
12,20375
13,19947
14,19465
15,17664
16,14735
17,19006
18,24269
19,25252
20,24977
21,24878
22,23818
23,20710
00,15209
01,9274
02,5890
03,3985
04,3416
05,4016
06,9950
07,18640
08,21890
09,20913
10,18707
11,18622
12,19538
13,19064
14,20699
15,19512
16,16374
17,20542
18,25799
19,27616
20,25878
21,24331
22,25553
23,24846
00,6182
01,3923
02,2435
03,1740
04,2173
05,3724
06,10007
07,17854
08,20495
09,18756
10,15759
11,15331
12,15504
13,15449
14,17173
15,17377
16,15899
17,20309
18,25435
19,22164
20,20572
21,19970
22,17156
23,12306
00,7495
01,4270
02,2755
03,1837
04,1912
05,4096
06,10599
07,20194
08,22798
09,20734
10,17964
11,18125
12,18009
13,17071
14,17409
15,17532
16,15762
17,20093
18,24904
19,24192
20,24596
21,23737
22,21574
23,16472
00,9460
01,5482
02,3553
03,2278
04,2131
05,3638
06,10190
07,18736
08,22065
09,19894
10,17513
11,17571
12,17787
13,17221
14,18467
15,18037
16,15389
17,18961
18,23906
19,24696
20,25073
21,24603
22,22826
23,17698
00,10740
01,6936
02,4102
03,2640
04,2465
05,3831
06,10256
07,18846
08,21727
09,20187
10,17954
11,18152
12,18253
13,18350
14,19249
15,18266
16,15509
17,20016
18,24106
19,24546
20,26009
21,25957
22,24683
23,21328
00,15212
01,9146
02,6339
03,4067
04,3363
05,3850
06,10206
07,18698
08,21882
09,19895
10,17517
11,17888
12,18410
13,18010
14,19678
15,17970
16,14995
17,19369
18,25412
19,27402
20,26337
21,25338
22,26892
23,25070
00,7054
01,4087
02,2602
03,1846
04,2326
05,3711
06,9874
07,16831
08,18835
09,17621
10,15245
11,15253
12,15836
13,15952
14,17792
15,17749
16,16621
17,19990
18,22874
19,22270
20,21743
21,20191
22,17853
23,12915
00,7578
01,4429
02,2715
03,1882
04,2037
05,3653
06,10086
07,18030
08,20630
09,18805
10,16927
11,16576
12,16714
13,16564
14,18427
15,17827
16,15632
17,19713
18,24278
19,23577
20,23809
21,23204
22,21775
23,16021
00,9660
01,5676
02,3566
03,2283
04,2145
05,3656
06,10075
07,18567
08,21166
09,19654
10,17471
11,17218
12,17733
13,17157
14,18936
15,18403
16,15404
17,19784
18,24133
19,24542
20,24595
21,24466
22,22928
23,18601
00,10955
01,6527
02,3980
03,2602
04,2407
05,3899
06,10437
