Time,pickup_number
00,22480
01,18991
02,14819
03,10904
04,6852
05,3283
06,4239
07,6721
08,10391
09,15213
10,18425
11,20585
12,22283
13,21884
14,21168
15,21096
16,19541
17,22385
18,27100
19,27048
20,22603
21,23260
22,25135
23,25766
00,24000
01,22674
02,18410
03,13619
04,8423
05,3358
06,3566
07,4973
08,8437
09,12522
10,16573
11,18936
12,20273
13,20574
14,20220
15,19474
16,18707
17,19312
18,20408
19,18398
20,16247
21,14459
22,12064
23,9422
00,22891
01,19121
02,15650
03,11593
04,7193
05,3400
06,4278
07,6412
08,10612
09,15124
10,17496
11,19255
12,20496
13,20630
14,20004
15,21184
16,19687
17,22164
18,25308
19,26238
20,22209
21,21871
22,24374
23,25619
00,23580
01,20987
02,33
03,18654
04,12773
05,5925
06,4030
07,5083
08,7585
09,11174
10,15416
11,18105
12,19901
13,19432
14,20090
15,18841
16,17946
17,18468
18,18864
19,17664
20,16546
21,15040
22,12268
23,9210
00,22588
01,18510
02,15145
03,10854
04,6958
05,3197
06,4343
07,6579
08,10283
09,14215
10,17845
11,19906
12,21117
13,21760
14,21412
15,20808
16,19174
17,21786
18,24686
19,26348
20,22229
21,22236
22,23548
23,26053
00,24233
01,21628
02,18328
03,13911
04,8506
05,3699
06,5224
07,5750
08,7920
09,11894
10,16483
11,19340
12,21185
13,20412
14,19471
15,18179
16,18372
17,20359
18,19853
19,17686
20,16259
21,16412
22,13301
23,9601
00,22668
01,19273
02,15682
03,11758
04,7213
05,3142
06,3923
07,5568
08,8584
09,12441
10,15526
11,17718
12,18851
13,19162
14,18071
15,18795
16,18015
17,20373
18,22597
19,23744
20,20578
21,20315
22,21377
23,22305
00,20120
01,17380
02,14498
03,11118
04,7280
05,2942
06,3040
07,4382
08,7031
09,10714
10,15955
11,16724
12,17624
13,17469
14,17085
15,16465
16,16761
17,17278
18,18271
19,17599
20,17027
21,15593
22,14293
23,11012
00,22404
01,20015
02,16882
03,12631
04,7491
05,3316
06,4586
07,7101
08,10968
09,17434
10,20364
11,20241
12,20840
13,21158
14,19557
15,19463
16,17838
17,20777
18,24023
19,24677
20,22794
21,21749
22,24209
23,26479
00,25039
01,22001
02,18275
03,13769
04,8546
05,3437
06,3550
07,4901
08,7684
09,12400
10,17510
11,20659
12,22319
13,21992
14,21231
15,19512
16,18341
17,18859
18,19477
19,17806
20,16506
21,14749
22,13294
23,10460
00,22797
01,19678
02,16093
03,11846
04,7217
05,3338
06,4423
07,6958
08,10973
09,15478
10,18382
11,21298
12,25821
13,26149
14,23514
15,22440
16,18824
17,21497
18,23814
19,24666
20,21275
21,21171
22,24346
23,26111
00,24416
01,21638
02,17943
03,13428
04,8245
05,3475
06,3643
07,5417
08,8407
09,12927
10,17388
11,19786
12,20626
13,20555
14,19839
15,18828
16,17739
17,19356
18,20824
19,19462
20,16805
21,15656
22,14136
23,10339
00,22822
01,19288
02,15350
03,11531
04,7410
05,3424
06,4577
07,7081
08,12449
09,16859
10,18423
11,20508
12,21571
13,21395
14,20217
15,19946
16,17964
17,20992
18,25132
19,26807
20,24230
21,23871
22,25737
23,26376
00,23980
01,21255
02,17629
03,13212
04,8261
05,3508
06,4093
07,6271
08,9164
09,13444
10,17246
11,19749
12,20408
13,20270
14,20096
15,19132
16,17886
17,18718
18,20091
19,18965
20,18076
21,16773
22,14767
23,10840
00,21648
01,17937
02,14112
03,10731
04,6146
05,2928
06,4067
07,6026
08,10144
09,13050
10,16599
11,17473
12,18222
13,17695
14,16839
15,16906
16,16196
17,19090
18,21130
19,21628
20,19567
21,20210
22,23110
23,24268
00,22504
01,20376
02,16728
03,12679
04,7785
05,3182
06,3597
07,5347
08,7238
09,10494
10,14180
11,16206
12,17483
13,17173
14,17564
15,16827
16,16307
17,18093
18,19044
19,18274
20,17637
21,14970
22,14137
23,10665
00,20649
01,17320
02,14187
03,10583
04,6581
05,3049
06,4314
07,6334
08,9922
09,14106
10,17060
11,18565
12,19867
13,20150
14,19094
15,19664
16,18005
17,20143
18,23085
19,25171
20,22337
21,22508
22,24647
23,25625
