Time,Temp,Weather,Wind,Humidity,Barometer,Visibility
00,48,clear,9,44,29.96,10.0
01,46,clear,6,48,29.97,10.0
02,47,clear,8,46,29.99,10.0
03,46,cloud,5,48,30.04,10.0
04,42,clear,3,55,30.07,10.0
05,41,clear,8,51,30.1,10.0
06,40,clear,3,49,30.12,10.0
07,39,clear,7,48,30.16,10.0
08,39,cloud,6,45,30.17,10.0
09,42,clear,9,33,30.19,10.0
10,44,clear,8,26,30.16,10.0
11,47,clear,5,26,30.13,10.0
12,49,clear,6,29,30.1,10.0
13,51,clear,7,26,30.08,10.0
14,48,clear,12,39,30.06,10.0
15,47,clear,10,41,30.03,10.0
16,45,cloud,6,49,30.0,10.0
17,45,cloud,7,56,29.98,10.0
18,45,cloud,9,60,29.95,10.0
19,46,cloud,9,66,29.88,10.0
20,48,cloud,9,68,29.83,10.0
21,49,cloud,9,74,29.77,10.0
22,50,cloud,7,80,29.7,10.0
23,52,cloud,13,77,29.62,10.0
00,52,cloud,7,77,29.59,8.0
01,52,cloud,7,77,29.52,9.0
02,51,light rain,9,83,29.5,2.0
03,53,cloud,5,83,29.45,8.0
04,54,light rain,12,72,29.48,10.0
05,50,light rain,9,68,29.5,5.0
06,51,cloud,8,71,29.49,10.0
07,47,cloud,14,52,29.57,10.0
08,44,cloud,16,45,29.62,10.0
09,43,cloud,16,42,29.66,10.0
10,42,clear,8,36,29.69,10.0
11,40,clear,13,30,29.71,10.0
12,40,clear,14,30,29.7,10.0
13,42,clear,14,28,29.74,10.0
14,40,clear,14,29,29.78,10.0
15,40,clear,12,29,29.81,10.0
16,39,clear,8,29,29.83,10.0
17,37,clear,13,30,29.88,10.0
18,35,clear,13,34,29.93,10.0
19,34,clear,9,35,29.97,10.0
20,32,clear,8,40,30.01,10.0
21,31,clear,8,40,30.05,10.0
22,30,clear,9,41,30.08,10.0
23,29,clear,9,39,30.1,10.0
00,28,clear,3,41,30.14,10.0
01,28,clear,8,41,30.13,10.0
02,27,clear,7,42,30.15,10.0
03,26,clear,10,44,30.16,10.0
04,26,clear,9,42,30.18,10.0
05,26,clear,7,42,30.19,10.0
06,26,clear,6,40,30.22,10.0
07,26,clear,13,40,30.24,10.0
08,26,clear,9,40,30.25,10.0
09,28,clear,5,35,30.25,10.0
10,31,clear,5,31,30.26,10.0
11,32,clear,6,30,30.25,10.0
12,34,clear,3,27,30.23,10.0
13,34,clear,3,27,30.22,10.0
14,34,clear,3,27,30.21,10.0
15,35,clear,8,25,30.2,10.0
16,35,clear,0,28,30.19,10.0
17,34,cloud,3,29,30.21,10.0
18,35,cloud,7,31,30.23,10.0
19,35,cloud,6,29,30.21,10.0
20,34,cloud,3,46,30.23,10.0
21,34,cloud,3,48,30.23,10.0
22,34,cloud,7,46,30.21,10.0
23,35,cloud,3,48,30.19,10.0
00,33,cloud,0,58,30.16,7.0
01,32,cloud,0,75,30.15,4.0
02,31,light snow,5,82,30.14,1.0
03,31,light snow,5,82,30.15,2.0
04,30,light snow,7,82,30.12,1.0
05,30,light snow,13,82,30.12,2.0
06,30,light snow,9,79,30.14,1.0
07,30,light snow,7,82,30.17,1.0
08,30,light snow,13,82,30.14,1.0
09,30,light snow,13,82,30.12,1.0
10,31,light snow,6,79,30.13,1.0
11,32,cloud,10,75,30.09,10.0
12,34,cloud,12,67,30.05,10.0
13,35,cloud,8,61,30.03,10.0
14,37,cloud,10,52,30.01,10.0
15,39,clear,10,48,30.0,10.0
16,39,clear,12,45,30.0,10.0
17,38,clear,10,45,30.01,10.0
18,37,clear,8,44,30.02,10.0
19,36,clear,9,44,30.03,10.0
20,35,clear,7,48,30.05,10.0
21,34,clear,10,46,30.06,10.0
22,34,clear,9,44,30.08,10.0
23,33,clear,8,48,30.1,10.0
00,38,clear,0,53,30.28,10.0
01,38,clear,9,58,30.28,10.0
02,37,clear,6,62,30.27,10.0
03,37,clear,6,62,30.26,10.0
04,39,clear,9,55,30.25,10.0
05,36,clear,12,67,30.27,9.0
06,37,clear,7,65,30.27,7.0
07,38,clear,6,68,30.27,5.0
08,40,clear,9,65,30.26,5.0
09,44,clear,9,58,30.23,6.0
10,47,clear,14,52,30.19,7.0
11,50,clear,8,48,30.15,8.0
12,53,clear,15,43,30.08,8.0
13,56,clear,3,40,30.04,10.0
14,58,clear,8,38,30.01,10.0
15,60,clear,7,36,29.99,10.0
16,60,clear,12,36,29.97,10.0
17,60,clear,12,36,29.99,10.0
18,59,clear,9,38,30.01,10.0
19,57,clear,6,42,30.03,10.0
20,56,clear,7,44,30.04,10.0
21,55,clear,6,45,30.05,10.0
22,55,clear,8,47,30.04,10.0
23,54,clear,5,47,30.04,10.0
00,53,clear,5,48,30.06,10.0
01,53,clear,0,48,30.07,10.0
02,51,clear,0,54,30.07,10.0
03,52,cloud,3,50,30.08,10.0
04,50,cloud,0,50,30.1,10.0
05,48,clear,0,56,30.11,10.0
06,49,cloud,3,57,30.13,10.0
07,50,cloud,0,50,30.14,10.0
08,54,clear,0,45,30.15,10.0
09,58,clear,5,39,30.15,10.0
10,62,cloud,3,37,30.16,7.0
11,65,clear,0,33,30.14,8.0
12,62,clear,8,32,30.13,10.0
13,62,clear,12,35,30.11,9.0
14,60,clear,9,38,30.11,10.0
15,56,clear,5,47,30.11,7.0
16,55,clear,3,51,30.11,6.0
17,53,clear,3,56,30.11,6.0
18,55,clear,3,51,30.08,5.0
19,51,clear,3,61,30.14,7.0
20,50,clear,5,66,30.14,7.0
21,51,clear,7,63,30.14,7.0
22,49,clear,3,69,30.14,7.0
23,48,clear,5,74,30.13,6.0
00,47,clear,3,77,30.11,6.0
01,47,clear,3,77,30.12,5.0
02,46,clear,0,79,30.13,5.0
