Time,Temp,Weather,Wind,Humidity,Barometer,Visibility
00,32,clear,8,50,30.1,10.0
01,31,clear,8,49,30.11,10.0
02,31,clear,7,49,30.11,10.0
03,30,clear,7,49,30.12,10.0
04,30,clear,5,49,30.15,10.0
05,29,clear,5,51,30.16,10.0
06,28,clear,5,53,30.19,10.0
07,29,clear,5,49,30.2,10.0
08,30,clear,9,41,30.19,10.0
09,32,clear,8,40,30.22,10.0
10,35,clear,5,35,30.21,10.0
11,37,clear,7,34,30.2,10.0
12,36,cloud,0,34,30.16,10.0
13,38,cloud,6,31,30.15,10.0
14,38,cloud,0,29,30.15,10.0
15,40,cloud,7,24,30.14,10.0
16,39,cloud,3,26,30.14,10.0
17,38,cloud,3,41,30.16,10.0
18,37,cloud,0,44,30.17,10.0
19,36,cloud,0,46,30.18,10.0
20,35,cloud,6,56,30.19,10.0
21,36,cloud,0,52,30.19,10.0
22,35,cloud,0,56,30.2,10.0
23,34,clear,0,59,30.21,10.0
00,35,cloud,0,52,30.21,10.0
01,34,clear,5,48,30.22,10.0
02,34,cloud,6,32,30.21,10.0
03,33,clear,3,30,30.21,10.0
04,32,clear,3,30,30.22,10.0
05,33,cloud,3,35,30.24,10.0
06,33,cloud,7,33,30.26,10.0
07,34,cloud,8,38,30.28,10.0
08,36,cloud,8,35,30.29,10.0
09,37,cloud,3,37,30.3,10.0
10,38,cloud,3,39,30.3,10.0
11,40,cloud,0,40,30.29,10.0
12,40,cloud,3,40,30.28,10.0
13,42,clear,0,35,30.26,10.0
14,44,clear,6,34,30.25,10.0
15,44,clear,3,32,30.24,10.0
16,44,clear,0,32,30.24,10.0
17,43,clear,5,34,30.25,10.0
18,42,clear,0,35,30.27,10.0
19,40,clear,3,38,30.28,10.0
20,40,clear,5,43,30.29,10.0
21,40,clear,3,45,30.29,10.0
22,39,clear,0,50,30.29,10.0
23,39,clear,0,53,30.28,10.0
00,47,clear,7,48,30.34,10.0
01,46,clear,8,48,30.35,10.0
02,44,clear,7,47,30.36,10.0
03,43,clear,5,51,30.35,10.0
04,41,clear,5,55,30.34,10.0
05,40,clear,0,55,30.35,10.0
06,41,clear,5,58,30.34,10.0
07,43,clear,3,53,30.33,10.0
08,47,clear,0,48,30.33,10.0
09,49,clear,5,44,30.32,10.0
10,53,clear,5,39,30.28,10.0
11,56,clear,3,34,30.26,10.0
12,57,clear,3,32,30.22,10.0
13,58,clear,6,36,30.16,10.0
14,56,clear,6,44,30.13,10.0
15,55,cloud,6,47,30.11,10.0
16,56,clear,7,46,30.07,10.0
17,56,clear,5,47,30.06,10.0
18,57,clear,9,47,30.05,10.0
19,56,clear,5,51,30.04,10.0
20,56,clear,7,51,30.03,10.0
21,55,clear,7,53,30.02,10.0
22,54,clear,8,55,30.01,10.0
23,53,clear,3,56,30.0,10.0
00,52,clear,7,59,29.99,10.0
01,52,clear,0,59,29.98,10.0
02,52,clear,0,59,29.99,10.0
03,52,clear,0,59,29.97,10.0
04,52,clear,5,59,29.98,10.0
05,53,clear,5,56,29.98,10.0
06,53,clear,0,55,30.0,10.0
07,54,clear,3,51,30.01,10.0
08,56,clear,0,42,30.03,10.0
09,58,clear,0,36,30.04,10.0
10,60,clear,9,32,30.05,10.0
11,60,clear,8,31,30.05,10.0
12,61,clear,6,30,30.05,10.0
13,61,clear,8,29,30.03,10.0
14,61,clear,5,26,30.03,10.0
15,62,clear,5,25,30.04,10.0
16,63,clear,7,23,30.03,10.0
17,61,clear,3,27,30.05,10.0
18,60,cloud,0,30,30.06,10.0
19,57,cloud,8,36,30.08,10.0
20,61,cloud,13,24,30.05,10.0
