Time,Temp,Weather,Wind,Humidity,Barometer,Visibility
01 00:51,45,clear,5,58,30.31,10
01 01:51,44,clear,3,63,30.32,10
01 02:51,42,clear,6,73,30.32,10
01 03:51,43,clear,0,71,30.33,10
01 04:51,41,clear,5,80,30.34,10
01 05:51,40,clear,0,83,30.35,10
01 06:51,41,clear,0,80,30.34,10
01 07:51,43,clear,3,79,30.36,10
01 08:51,46,clear,0,77,30.38,10
01 09:51,48,clear,3,71,30.38,10
01 10:51,50,clear,5,66,30.38,10
01 11:51,54,clear,3,64,30.4,10
01 12:51,56,cloud,3,53,30.36,10
01 13:51,57,clear,3,53,30.34,10
01 14:51,58,clear,5,51,30.32,10
01 15:51,58,clear,7,54,30.31,10
01 16:51,56,cloud,3,62,30.31,10
01 17:51,56,cloud,3,60,30.31,10
01 18:51,54,clear,3,67,30.31,10
01 19:51,55,clear,0,69,30.31,10
01 20:51,55,clear,3,69,30.3,10
01 21:51,54,clear,0,72,30.3,10
01 22:51,55,cloud,3,69,30.31,10
01 23:51,56,cloud,5,67,30.3,10
02 00:51,56,cloud,3,67,30.3,10
02 01:51,56,cloud,6,67,30.29,10
02 02:51,56,cloud,6,70,30.29,10
02 03:51,55,cloud,5,72,30.28,10
02 04:51,54,cloud,3,74,30.26,10
02 05:51,54,cloud,7,74,30.26,10
02 06:51,54,clear,7,74,30.27,10
02 07:51,54,clear,5,77,30.27,9
02 08:51,55,clear,5,77,30.27,9
02 09:51,57,clear,3,72,30.26,9
02 10:51,59,clear,0,69,30.25,9
02 11:51,62,clear,5,65,30.24,9
02 12:51,65,clear,7,61,30.2,9
02 13:51,67,clear,5,59,30.17,9
02 14:51,68,clear,0,59,30.15,9
02 15:51,69,clear,0,61,30.14,9
02 16:51,69,clear,3,61,30.13,9
02 17:51,68,clear,0,63,30.12,10
02 18:51,68,clear,3,63,30.13,10
02 19:51,67,clear,3,66,30.13,10
02 20:51,67,clear,5,66,30.13,10
02 21:51,66,clear,5,68,30.11,10
02 22:51,65,clear,0,70,30.1,9
02 23:51,64,clear,0,73,30.1,9
03 00:51,64,cloud,0,73,30.09,8
03 01:51,63,clear,0,75,30.07,8
03 02:51,63,cloud,0,75,30.05,7
03 03:51,62,clear,3,78,30.03,7
03 04:51,61,clear,3,81,30.02,6
03 05:51,62,clear,6,78,29.99,6
03 06:51,60,clear,6,83,29.97,6
03 07:51,62,clear,5,80,29.96,5
03 08:51,64,clear,6,75,29.95,5
03 09:51,64,fog,7,75,29.93,5
03 10:51,66,clear,9,68,29.9,6
03 11:51,67,clear,3,66,29.9,6
03 12:51,68,clear,7,65,29.86,7
03 13:51,71,clear,10,57,29.84,9
03 14:51,72,cloud,7,57,29.83,9
03 15:51,72,cloud,5,55,29.83,10
03 16:51,71,cloud,6,57,29.85,10
03 17:51,67,clear,7,53,29.89,10
03 18:51,64,clear,0,54,29.92,10
03 19:51,63,cloud,6,54,29.94,10
03 20:51,60,clear,5,53,29.96,10
03 21:51,59,clear,5,58,29.96,10
03 22:51,58,clear,3,58,29.97,10
03 23:51,57,clear,7,62,29.97,10
04 00:51,57,clear,6,62,29.96,10
04 01:51,56,clear,0,67,29.96,10
04 02:51,56,clear,6,65,29.98,10
04 03:51,55,clear,3,57,29.99,10
04 04:51,54,clear,7,57,30.02,10
04 05:51,53,clear,8,59,30.04,10
04 06:51,51,clear,0,66,30.06,10
04 07:51,52,clear,5,64,30.1,10
04 08:51,53,clear,5,59,30.13,10
04 09:51,54,cloud,5,57,30.13,10
04 10:51,57,clear,3,53,30.14,10
04 11:51,57,cloud,8,47,30.14,10
04 12:51,60,cloud,5,44,30.13,10
04 13:51,59,cloud,5,39,30.12,10
04 14:51,59,clear,8,35,30.13,10
04 15:51,59,clear,5,32,30.14,10
04 16:51,57,clear,6,32,30.15,10
04 17:51,56,clear,5,29,30.17,10
04 18:51,55,clear,5,34,30.19,10
04 19:51,54,clear,5,34,30.21,10
04 20:51,53,clear,6,37,30.22,10
04 21:51,52,clear,3,38,30.23,10
04 22:51,50,clear,5,39,30.24,10
04 23:51,49,clear,3,43,30.23,10
05 00:51,48,clear,3,43,30.23,10
05 01:51,47,clear,0,46,30.24,10
05 02:51,46,clear,3,50,30.23,10
05 03:51,44,clear,0,58,30.22,10
05 04:51,46,cloud,0,54,30.22,10
05 05:51,45,clear,0,58,30.22,10
05 06:51,44,clear,0,63,30.22,10
05 07:51,45,clear,0,60,30.24,10
05 08:51,47,clear,6,61,30.23,10
05 09:51,49,clear,0,57,30.23,10
05 10:51,51,clear,3,56,30.22,10
05 11:51,55,clear,3,53,30.21,10
05 12:51,58,clear,8,51,30.19,10
05 13:51,60,cloud,3,47,30.16,10
05 14:51,60,clear,7,49,30.14,10
05 15:51,61,clear,8,46,30.14,10
05 16:51,61,clear,3,48,30.15,10
05 17:51,60,clear,6,47,30.14,10
05 18:51,59,clear,6,49,30.15,10
05 19:51,58,clear,5,54,30.15,10
05 20:51,56,clear,0,58,30.15,10
05 21:51,55,clear,3,59,30.15,10
05 22:51,56,clear,3,58,30.14,10
05 23:51,56,clear,0,60,30.12,10
06 00:51,56,clear,6,60,30.11,10
06 01:51,56,clear,6,60,30.11,10
06 02:51,55,clear,10,62,30.1,10
06 03:51,56,clear,10,62,30.09,10
06 04:51,54,clear,5,67,30.11,10
06 05:51,53,clear,6,66,30.14,10
06 06:51,53,clear,5,59,30.16,10
06 07:51,53,clear,5,55,30.18,10
06 08:51,54,clear,8,53,30.19,10
06 09:51,55,clear,5,47,30.2,10
