time,num
2015-06-01 00,8450
2015-06-01 01,5863
2015-06-01 02,3765
2015-06-01 03,2327
2015-06-01 04,2346
2015-06-01 05,4150
2015-06-01 06,11257
2015-06-01 07,18317
2015-06-01 08,21039
2015-06-01 09,19609
2015-06-01 10,19446
2015-06-01 11,19647
2015-06-01 12,18548
2015-06-01 13,17190
2015-06-01 14,18783
2015-06-01 15,18448
2015-06-01 16,16291
2015-06-01 17,20567
2015-06-01 18,24592
2015-06-01 19,25638
2015-06-01 20,23341
2015-06-01 21,23835
2015-06-01 22,21273
2015-06-01 23,14709
2015-06-02 00,9637
2015-06-02 01,6307
2015-06-02 02,3847
2015-06-02 03,2261
2015-06-02 04,2071
2015-06-02 05,4164
2015-06-02 06,11655
2015-06-02 07,19945
2015-06-02 08,23012
2015-06-02 09,21415
2015-06-02 10,18856
2015-06-02 11,18720
2015-06-02 12,19653
2015-06-02 13,20030
2015-06-02 14,21201
2015-06-02 15,19564
2015-06-02 16,15252
2015-06-02 17,19817
2015-06-02 18,24948
2015-06-02 19,26322
2015-06-02 20,25908
2015-06-02 21,25744
2015-06-02 22,22812
2015-06-02 23,17941
2015-06-03 00,12050
2015-06-03 01,6852
2015-06-03 02,4420
2015-06-03 03,2666
2015-06-03 04,2495
2015-06-03 05,3896
2015-06-03 06,10941
2015-06-03 07,20194
2015-06-03 08,23478
2015-06-03 09,21493
2015-06-03 10,19170
2015-06-03 11,19426
2015-06-03 12,19775
2015-06-03 13,18981
2015-06-03 14,19652
2015-06-03 15,18458
2015-06-03 16,14730
2015-06-03 17,18694
2015-06-03 18,23938
2015-06-03 19,26317
2015-06-03 20,26280
2015-06-03 21,26738
2015-06-03 22,24872
2015-06-03 23,21318
2015-06-04 00,14274
2015-06-04 01,8594
2015-06-04 02,5371
2015-06-04 03,3464
2015-06-04 04,2880
2015-06-04 05,4158
2015-06-04 06,11146
2015-06-04 07,20039
2015-06-04 08,23379
2015-06-04 09,21793
2015-06-04 10,19947
2015-06-04 11,19738
2015-06-04 12,20050
2015-06-04 13,19353
2015-06-04 14,20112
2015-06-04 15,18364
2015-06-04 16,14873
2015-06-04 17,19304
2015-06-04 18,24909
2015-06-04 19,26951
2015-06-04 20,27073
2015-06-04 21,27743
2015-06-04 22,26459
2015-06-04 23,24169
2015-06-05 00,19861
2015-06-05 01,12187
2015-06-05 02,8187
2015-06-05 03,5404
2015-06-05 04,4055
2015-06-05 05,4356
2015-06-05 06,10548
2015-06-05 07,18880
2015-06-05 08,22520
2015-06-05 09,21196
2015-06-05 10,22016
2015-06-05 11,21643
2015-06-05 12,19815
2015-06-05 13,18481
2015-06-05 14,18745
2015-06-05 15,17225
2015-06-05 16,14895
2015-06-05 17,19638
2015-06-05 18,25111
2015-06-05 19,26442
2015-06-05 20,23789
2015-06-05 21,24208
2015-06-05 22,25535
2015-06-05 23,26123
2015-06-06 00,25293
2015-06-06 01,20442
2015-06-06 02,17098
2015-06-06 03,12643
2015-06-06 04,7952
2015-06-06 05,4050
