Time,Temp,Weather,Wind,Humidity,Barometer,Visibility
12:51 am,50 °F,Clear.,3 mph,50%,"30.23 ""Hg",10 mi
1:51 am,50 °F,Clear.,N/A,61%,"30.21 ""Hg",10 mi
2:51 am,50 °F,Passing clouds.,6 mph,52%,"30.19 ""Hg",10 mi
3:51 am,50 °F,Overcast.,No wind,50%,"30.19 ""Hg",10 mi
4:51 am,50 °F,Overcast.,No wind,54%,"30.19 ""Hg",10 mi
5:51 am,50 °F,Overcast.,3 mph,59%,"30.19 ""Hg",10 mi
6:51 am,50 °F,Overcast.,No wind,61%,"30.21 ""Hg",10 mi
7:51 am,49 °F,Overcast.,7 mph,61%,"30.21 ""Hg",10 mi
8:51 am,48 °F,Light rain. Overcast.,No wind,77%,"30.24 ""Hg",6 mi
9:51 am,47 °F,Light rain. Fog.,3 mph,86%,"30.22 ""Hg",5 mi
10:51 am,48 °F,Light rain. Fog.,6 mph,86%,"30.20 ""Hg",6 mi
11:59 am,47 °F,Light rain. Fog.,6 mph,86%,"30.21 ""Hg",5 mi
12:51 pm,47 °F,Light rain. Mostly cloudy.,N/A,86%,"30.17 ""Hg",7 mi
1:51 pm,48 °F,Cloudy.,6 mph,83%,"30.16 ""Hg",10 mi
2:04 pm,48 °F,Mostly cloudy.,3 mph,83%,"30.17 ""Hg",10 mi
2:51 pm,48 °F,Mostly cloudy.,6 mph,80%,"30.14 ""Hg",10 mi
3:51 pm,49 °F,Overcast.,3 mph,74%,"30.14 ""Hg",10 mi
4:59 pm,48 °F,Light rain. Overcast.,7 mph,83%,"30.14 ""Hg",7 mi
5:51 pm,48 °F,Light rain. Fog.,6 mph,89%,"30.11 ""Hg",2 mi
6:51 pm,47 °F,Fog.,9 mph,93%,"30.10 ""Hg",2 mi
7:51 pm,47 °F,Fog.,9 mph,90%,"30.10 ""Hg",3 mi
8:51 pm,45 °F,Fog.,9 mph,90%,"30.11 ""Hg",6 mi
9:51 pm,45 °F,Low clouds.,7 mph,90%,"30.09 ""Hg",8 mi
10:51 pm,45 °F,Low clouds.,6 mph,90%,"30.09 ""Hg",9 mi
11:51 pm,46 °F,Fog.,No wind,93%,"30.09 ""Hg",3 mi
