Time,Temp,Weather,Wind,Humidity,Barometer,Visibility
01 00:51,52,Rain. Fog,6,97,29.48,2
01 01:51,52,Fog,No wind,97,29.50,3
01 02:51,51,Fog,6,96,29.46,3
01 03:51,52,Passing clouds,6,93,29.50,10
01 04:51,52,Light rain. Mostly cloudy,5,86,29.53,10
01 05:51,51,Passing clouds,5,86,29.55,10
01 06:51,51,Clear,6,83,29.58,10
01 07:51,52,Broken clouds,6,80,29.61,10
01 08:51,52,Sunny,9,66,29.63,10
01 09:51,53,Passing clouds,10,56,29.65,10
01 10:51,53,Passing clouds,N/A,52,29.65,10
01 11:51,53,Sunny,N/A,51,29.64,10
01 12:51,52,Passing clouds,5,49,29.65,10
01 13:51,51,Overcast,15,48,29.66,10
01 14:51,50,Overcast,8,48,29.68,10
01 15:51,50,Overcast,15,46,29.70,10
01 16:51,49,Overcast,10,46,29.72,10
01 17:51,49,Overcast,12,44,29.75,10
01 18:51,48,Overcast,8,46,29.77,10
01 19:51,47,Overcast,12,46,29.79,10
01 20:51,45,Clear,N/A,49,29.80,10
01 21:51,44,Clear,8,51,29.81,10
01 22:51,43,Clear,6,53,29.83,10
01 23:51,42,Clear,6,55,29.83,10
02 00:51,42,Clear,10,53,29.84,10
02 01:51,41,Clear,12,55,29.86,10
02 02:51,41,Clear,9,58,29.88,10
02 03:51,40,Clear,8,60,29.87,10
02 04:51,40,Passing clouds,9,60,29.87,10
02 05:51,41,Clear,5,58,29.88,10
02 06:51,41,Clear,5,60,29.90,10
02 07:51,41,Sunny,7,60,29.90,10
02 08:51,42,Sunny,7,57,29.91,10
02 09:51,44,Sunny,7,55,29.92,10
02 10:51,47,Sunny,9,52,29.90,10
02 11:51,49,Sunny,9,46,29.88,10
02 12:51,50,Partly sunny,7,43,29.86,10
02 13:51,50,Mostly cloudy,10,43,29.85,10
02 14:51,50,Partly sunny,9,41,29.85,10
02 15:51,50,Overcast,9,43,29.86,10
02 16:51,49,Passing clouds,9,41,29.88,10
02 17:51,48,Clear,10,43,29.88,10
02 18:51,47,Passing clouds,13,46,29.89,10
02 19:51,47,Passing clouds,13,48,29.89,10
02 20:51,46,Mostly cloudy,12,50,29.89,10
02 21:51,45,Passing clouds,6,51,29.90,10
02 22:51,44,Overcast,5,55,29.90,10
02 23:51,44,Overcast,N/A,55,29.90,10
03 00:51,44,Mostly cloudy,6,55,29.90,10
03 01:51,44,Overcast,12,58,29.91,10
03 02:51,43,Mostly cloudy,6,56,29.93,10
03 03:51,43,Passing clouds,14,53,29.93,10
03 04:51,42,Passing clouds,8,53,29.94,10
03 05:51,41,Passing clouds,10,55,29.96,10
03 06:51,42,Passing clouds,6,51,29.99,10
03 07:51,42,Partly sunny,5,51,30.01,10
03 08:51,43,Overcast,5,51,30.02,10
03 09:51,44,Overcast,N/A,45,30.03,10
03 10:51,44,Partly sunny,12,45,30.03,10
03 11:51,45,Partly sunny,5,45,30.02,10
03 12:51,47,Partly sunny,14,42,30.02,10
03 13:51,47,Passing clouds,14,41,30.02,10
03 14:51,46,Partly sunny,10,44,30.03,10
03 15:51,45,Sunny,N/A,45,30.07,10
03 16:51,45,Passing clouds,10,48,30.08,10
03 17:51,45,Passing clouds,N/A,49,30.10,10
03 18:51,44,Passing clouds,6,51,30.11,10
03 19:51,43,Passing clouds,9,53,30.11,10
03 20:51,43,Passing clouds,10,53,30.11,10
03 21:51,43,Overcast,13,51,30.13,10
03 22:51,43,Overcast,7,49,30.15,10
03 23:51,42,Overcast,6,49,30.16,10
04 00:51,42,Overcast,7,51,30.17,10
04 01:51,42,Overcast,N/A,49,30.19,10
04 02:51,41,Overcast,N/A,51,30.19,10
04 03:51,41,Overcast,7,49,30.18,10
04 04:51,41,Overcast,9,47,30.19,10
04 05:51,40,Passing clouds,3,51,30.19,10
04 06:51,39,Passing clouds,12,48,30.21,10
04 07:51,39,Sunny,5,50,30.22,10
04 08:51,39,Sunny,3,50,30.23,10
04 09:51,41,Sunny,N/A,47,30.23,10
04 10:51,42,Sunny,3,45,30.22,10
04 11:51,44,Sunny,9,40,30.20,10
04 12:51,45,Sunny,No wind,37,30.19,10
04 13:51,46,Sunny,7,35,30.18,10
04 14:51,45,Sunny,6,37,30.18,10
04 15:51,44,Sunny,No wind,40,30.18,10
04 16:51,43,Clear,3,38,30.18,10
04 17:51,42,Clear,3,43,30.19,10
04 18:51,42,Clear,No wind,49,30.18,10
04 19:51,42,Clear,7,51,30.18,10
04 20:51,41,Clear,No wind,51,30.17,10
04 21:51,41,Clear,8,51,30.16,10
04 22:51,40,Clear,5,53,30.15,10
04 23:51,40,Passing clouds,8,53,30.11,10
05 00:51,41,Passing clouds,7,47,30.10,10
05 01:51,41,Mostly cloudy,N/A,53,30.06,10
05 02:51,41,Light rain. Mostly cloudy,5,62,30.08,10
05 03:51,40,Light rain. Fog,6,86,30.03,5
05 04:51,39,Rain. Fog,3,89,30.01,3
05 05:51,39,Light rain. Fog,No wind,89,30.01,3
05 06:51,39,Light rain. Fog,7,89,30.01,4
05 07:51,40,Fog,8,89,30.00,6
05 08:51,42,More clouds than sun,8,85,30.01,8
05 09:51,43,Mostly cloudy,N/A,82,30.00,8
05 10:51,43,Overcast,9,82,29.97,9
05 11:51,45,Sunny,10,74,29.95,10
05 12:51,48,Sunny,8,61,29.94,10
05 13:51,48,Sunny,N/A,59,29.96,10
05 14:51,48,Passing clouds,10,56,29.97,10
05 15:51,48,Scattered clouds,8,54,29.98,10
05 16:51,47,Passing clouds,7,56,30.02,10
05 17:51,46,Passing clouds,7,61,30.02,10
05 18:51,45,Clear,3,58,30.03,10
05 19:51,45,Clear,No wind,60,30.05,10
05 20:51,45,Clear,6,60,30.07,10
05 21:51,45,Clear,3,58,30.08,10
05 22:51,43,Clear,No wind,68,30.09,10
05 23:51,43,Clear,5,60,30.10,10
06 00:51,41,Clear,3,62,30.10,10
06 01:51,40,Clear,3,65,30.12,10
06 02:51,40,Clear,3,63,30.11,10
06 03:51,40,Clear,7,60,30.12,10
06 04:51,40,Clear,No wind,60,30.11,10
