Time,Temp,Weather,Wind,Humidity,Barometer,Visibility
00,48,Clear,9,44,29.96,10.0
01,46,Clear,6,48,29.97,10.0
02,47,Clear,8,46,29.99,10.0
03,46,Overcast,5,48,30.04,10.0
04,42,Clear,3,55,30.07,10.0
05,41,Clear,8,51,30.1,10.0
06,40,Sunny,3,49,30.12,10.0
07,39,Sunny,7,48,30.16,10.0
08,39,Scattered clouds,6,45,30.17,10.0
09,42,Sunny,9,33,30.19,10.0
10,44,Sunny,8,26,30.16,10.0
11,47,Sunny,5,26,30.13,10.0
12,49,Sunny,6,29,30.1,10.0
13,51,Sunny,7,26,30.08,10.0
14,48,Sunny,12,39,30.06,10.0
15,47,Sunny,10,41,30.03,10.0
16,45,Passing clouds,6,49,30.0,10.0
17,45,Passing clouds,7,56,29.98,10.0
18,45,Partly cloudy,9,60,29.95,10.0
19,46,Overcast,9,66,29.88,10.0
20,48,Passing clouds,9,68,29.83,10.0
21,49,Mostly cloudy,9,74,29.77,10.0
22,50,Passing clouds,7,80,29.7,10.0
23,52,Mostly cloudy,13,77,29.62,10.0
00,52,Overcast,7,77,29.59,8.0
01,52,Mostly cloudy,7,77,29.52,9.0
02,51,Rain. Overcast,9,83,29.5,2.0
03,53,Overcast,5,83,29.45,8.0
04,54,Light rain. Mostly cloudy,12,72,29.48,10.0
05,50,Rain. Overcast,9,68,29.5,5.0
06,51,Mostly cloudy,8,71,29.49,10.0
07,47,Passing clouds,14,52,29.57,10.0
08,44,Passing clouds,16,45,29.62,10.0
09,43,Passing clouds,16,42,29.66,10.0
10,42,Sunny,8,36,29.69,10.0
11,40,Sunny,13,30,29.71,10.0
12,40,Sunny,14,30,29.7,10.0
13,42,Sunny,14,28,29.74,10.0
14,40,Sunny,14,29,29.78,10.0
15,40,Sunny,12,29,29.81,10.0
16,39,Sunny,8,29,29.83,10.0
17,37,Clear,13,30,29.88,10.0
18,35,Clear,13,34,29.93,10.0
19,34,Clear,9,35,29.97,10.0
20,32,Clear,8,40,30.01,10.0
21,31,Clear,8,40,30.05,10.0
22,30,Clear,9,41,30.08,10.0
23,29,Clear,9,39,30.1,10.0
00,28,Clear,3,41,30.14,10.0
01,28,Clear,8,41,30.13,10.0
02,27,Clear,7,42,30.15,10.0
03,26,Clear,10,44,30.16,10.0
04,26,Clear,9,42,30.18,10.0
05,26,Clear,7,42,30.19,10.0
06,26,Sunny,6,40,30.22,10.0
07,26,Sunny,13,40,30.24,10.0
08,26,Sunny,9,40,30.25,10.0
09,28,Sunny,5,35,30.25,10.0
10,31,Sunny,5,31,30.26,10.0
11,32,Sunny,6,30,30.25,10.0
12,34,Sunny,3,27,30.23,10.0
13,34,Sunny,3,27,30.22,10.0
14,34,Sunny,3,27,30.21,10.0
15,35,Sunny,8,25,30.2,10.0
16,35,Sunny,0,28,30.19,10.0
17,34,Passing clouds,3,29,30.21,10.0
18,35,Passing clouds,7,31,30.23,10.0
19,35,Overcast,6,29,30.21,10.0
20,34,Overcast,3,46,30.23,10.0
21,34,Mostly cloudy,3,48,30.23,10.0
22,34,Mostly cloudy,7,46,30.21,10.0
23,35,Mostly cloudy,3,48,30.19,10.0
00,33,Overcast,0,58,30.16,7.0
01,32,Mostly cloudy,0,75,30.15,4.0
02,31,Light snow. Mostly cloudy,5,82,30.14,1.0
03,31,Light snow. Mostly cloudy,5,82,30.15,2.0
04,30,Light snow. Overcast,7,82,30.12,1.0
05,30,Light snow. Mostly cloudy,13,82,30.12,2.0
06,30,Light snow. More clouds than sun,9,79,30.14,1.0
07,30,Light snow. Cloudy,7,82,30.17,1.0
08,30,Light snow. Mostly cloudy,13,82,30.14,1.0
09,30,Light snow. Overcast,13,82,30.12,1.0
10,31,Light snow. Overcast,6,79,30.13,1.0
11,32,Overcast,10,75,30.09,10.0
12,34,Overcast,12,67,30.05,10.0
13,35,Overcast,8,61,30.03,10.0
14,37,Overcast,10,52,30.01,10.0
15,39,Sunny,10,48,30.0,10.0
16,39,Sunny,12,45,30.0,10.0
17,38,Clear,10,45,30.01,10.0
18,37,Clear,8,44,30.02,10.0
19,36,Clear,9,44,30.03,10.0
20,35,Clear,7,48,30.05,10.0
21,34,Clear,10,46,30.06,10.0
22,34,Clear,9,44,30.08,10.0
23,33,Clear,8,48,30.1,10.0
00,38,Clear,0,53,30.28,10.0
01,38,Clear,9,58,30.28,10.0
02,37,Clear,6,62,30.27,10.0
03,37,Clear,6,62,30.26,10.0
04,39,Clear,9,55,30.25,10.0
05,36,Clear,12,67,30.27,9.0
06,37,Sunny,7,65,30.27,7.0
07,38,Sunny,6,68,30.27,5.0
08,40,Sunny,9,65,30.26,5.0
09,44,Sunny,9,58,30.23,6.0
10,47,Sunny,14,52,30.19,7.0
11,50,Sunny,8,48,30.15,8.0
12,53,Sunny,15,43,30.08,8.0
13,56,Sunny,3,40,30.04,10.0
14,58,Sunny,8,38,30.01,10.0
15,60,Sunny,7,36,29.99,10.0
16,60,Sunny,12,36,29.97,10.0
17,60,Sunny,12,36,29.99,10.0
18,59,Clear,9,38,30.01,10.0
19,57,Clear,6,42,30.03,10.0
20,56,Clear,7,44,30.04,10.0
21,55,Clear,6,45,30.05,10.0
22,55,Clear,8,47,30.04,10.0
23,54,Clear,5,47,30.04,10.0
00,53,Clear,5,48,30.06,10.0
01,53,Clear,0,48,30.07,10.0
02,51,Clear,0,54,30.07,10.0
03,52,Overcast,3,50,30.08,10.0
04,50,Passing clouds,0,50,30.1,10.0
05,48,Clear,0,56,30.11,10.0
06,49,Broken clouds,3,57,30.13,10.0
07,50,Scattered clouds,0,50,30.14,10.0
08,54,Sunny,0,45,30.15,10.0
09,58,Partly sunny,5,39,30.15,10.0
