Time,Temp,Weather,Wind,Humidity,Barometer,Visibility
03 00:51,55,Light rain. Fog,0,93.0,29.92,2.0
03 01:51,53,Light rain. Fog,0,96.0,29.93,2.0
03 02:51,53,Rain. Fog,6,93.0,29.9,2.0
03 03:51,53,Light rain. Fog,5,93.0,29.86,2.0
03 04:51,53,Rain. Fog,5,93.0,29.85,2.0
03 05:51,52,Rain. Fog,6,93.0,29.88,2.0
03 06:51,52,Light rain. Fog,6,93.0,29.87,4.0
03 07:51,52,Light rain. Fog,7,93.0,29.87,5.0
03 08:51,52,Light rain. Fog,7,93.0,29.86,5.0
03 09:51,52,Light rain. Fog,8,89.0,29.85,3.0
03 10:51,51,Light rain. Fog,10,92.0,29.86,2.0
03 11:51,52,Fog,8,93.0,29.84,4.0
03 12:51,52,Low clouds,10,89.0,29.83,8.0
03 13:51,51,Low clouds,8,89.0,29.83,8.0
03 14:51,52,Fog,10,89.0,29.82,4.0
03 15:51,53,Overcast,7,86.0,29.82,10.0
03 16:51,54,Mostly cloudy,9,80.0,29.81,10.0
03 17:51,54,Cloudy,8,80.0,29.82,10.0
03 18:51,53,Fog,7,86.0,29.83,6.0
03 19:51,52,Fog,5,89.0,29.83,3.0
03 20:51,52,Overcast,5,89.0,29.87,7.0
03 21:51,52,Fog,3,89.0,29.84,6.0
03 22:51,52,Fog,3,89.0,29.84,6.0
03 23:51,52,Fog,5,89.0,29.82,4.0
